url	run_no	elapsed_sec	status
/api/analysis/epv?player_id=12	1	1.702	200
/api/analysis/epv?player_id=12	2	0.004	200
/api/analysis/epv?player_id=12	3	0.004	200
/api/analysis/epv_state_table?player_id=12	1	1.134	200
/api/analysis/epv_state_table?player_id=12	2	0.005	200
/api/analysis/epv_state_table?player_id=12	3	0.004	200
/api/analysis/state_action_values?player_id=12	1	1.003	200
/api/analysis/state_action_values?player_id=12	2	0.004	200
/api/analysis/state_action_values?player_id=12	3	0.004	200
/api/analysis/counterfactual_shots?player_id=12	1	0.914	200
/api/analysis/counterfactual_shots?player_id=12	2	0.003	200
/api/analysis/counterfactual_shots?player_id=12	3	0.003	200
/api/analysis/counterfactual_v2?player_id=12	1	1.337	200
/api/analysis/counterfactual_v2?player_id=12	2	0.003	200
/api/analysis/counterfactual_v2?player_id=12	3	0.003	200
/api/analysis/bayes_matchup?player_id=12	1	0.006	ERR:AttributeError
/api/analysis/bayes_matchup?player_id=12	2	0.006	ERR:AttributeError
/api/analysis/bayes_matchup?player_id=12	3	0.005	ERR:AttributeError
/api/analysis/opponent_policy?player_id=12	1	1.037	200
/api/analysis/opponent_policy?player_id=12	2	0.003	200
/api/analysis/opponent_policy?player_id=12	3	0.003	200
/api/analysis/doubles_role?player_id=12	1	0.053	200
/api/analysis/doubles_role?player_id=12	2	0.004	200
/api/analysis/doubles_role?player_id=12	3	0.003	200
/api/analysis/shot_influence_v2?player_id=12	1	1.112	ERR:KeyError
/api/analysis/shot_influence_v2?player_id=12	2	1.004	ERR:KeyError
/api/analysis/shot_influence_v2?player_id=12	3	1.053	ERR:KeyError
/api/analysis/hazard_fatigue?player_id=12	1	0.072	200
/api/analysis/hazard_fatigue?player_id=12	2	0.004	200
/api/analysis/hazard_fatigue?player_id=12	3	0.003	200
/api/analysis/heatmap?player_id=12&type=hit	1	0.039	200
/api/analysis/heatmap?player_id=12&type=hit	2	0.003	200
/api/analysis/heatmap?player_id=12&type=hit	3	0.002	200
/api/analysis/heatmap?player_id=12&type=land	1	0.038	200
/api/analysis/heatmap?player_id=12&type=land	2	0.003	200
/api/analysis/heatmap?player_id=12&type=land	3	0.002	200
/api/analysis/heatmap/composite?player_id=12	1	0.210	200
/api/analysis/heatmap/composite?player_id=12	2	0.003	200
/api/analysis/heatmap/composite?player_id=12	3	0.003	200
/api/analysis/spatial_density?player_id=12	1	16.109	200
/api/analysis/spatial_density?player_id=12	2	0.004	200
/api/analysis/spatial_density?player_id=12	3	0.004	200
/api/analysis/pre_loss_patterns?player_id=12	1	0.524	200
/api/analysis/pre_loss_patterns?player_id=12	2	0.004	200
/api/analysis/pre_loss_patterns?player_id=12	3	0.003	200
/api/analysis/pre_win_patterns?player_id=12	1	0.525	200
/api/analysis/pre_win_patterns?player_id=12	2	0.003	200
/api/analysis/pre_win_patterns?player_id=12	3	0.002	200
/api/analysis/effective_distribution_map?player_id=12	1	1.317	200
/api/analysis/effective_distribution_map?player_id=12	2	0.003	200
/api/analysis/effective_distribution_map?player_id=12	3	0.002	200
/api/analysis/received_vulnerability_map?player_id=12	1	0.005	404
/api/analysis/received_vulnerability_map?player_id=12	2	0.006	404
/api/analysis/received_vulnerability_map?player_id=12	3	0.007	404
/api/analysis/score_progression?player_id=12	1	0.020	422
/api/analysis/score_progression?player_id=12	2	0.007	422
/api/analysis/score_progression?player_id=12	3	0.006	422
/api/analysis/set_comparison?player_id=12	1	0.081	200
/api/analysis/set_comparison?player_id=12	2	0.004	200
/api/analysis/set_comparison?player_id=12	3	0.003	200
/api/analysis/rally_sequence_patterns?player_id=12	1	1.157	200
/api/analysis/rally_sequence_patterns?player_id=12	2	0.003	200
/api/analysis/rally_sequence_patterns?player_id=12	3	0.003	200
